
5,00000; 1,00000; 0,00057 - 0,01094; 0,03000 - 0,28487; 0,97000 - 0,71513; 4,85000 - 3,57566; 4,70856 - 3,57566
5,00000; 5,00000; 0,00074 - 0,36810; 0,00000 - 0,00307; 1,00000 - 0,99693; 5,00000 - 4,98466; 1,07652 - 0,99693
10,00000; 1,00000; 0,00000 - 0,00068; 0,49000 - 0,56395; 0,51000 - 0,43605; 5,10000 - 4,36048; 4,75880 - 4,36048
10,00000; 5,00000; 0,00000 - 0,13761; 0,00000 - 0,03670; 1,00000 - 0,96330; 10,00000 - 9,63303; 1,96096 - 1,92661
15,00000; 1,00000; 0,00000 - 0,00011; 0,62000 - 0,69323; 0,38000 - 0,30677; 5,70000 - 4,60159; 4,85991 - 4,60159
15,00000; 5,00000; 0,00001 - 0,05435; 0,00000 - 0,11005; 1,00000 - 0,88995; 15,00000 - 13,34918; 2,90980 - 2,66984
20,00000; 1,00000; 0,00001 - 0,00003; 0,70000 - 0,76436; 0,30000 - 0,23564; 6,00000 - 4,71284; 4,87405 - 4,71284
20,00000; 5,00000; 0,00002 - 0,02333; 0,00000 - 0,19907; 1,00000 - 0,80093; 20,00000 - 16,01866; 3,57209 - 3,20373
25,00000; 1,00000; 0,00000 - 0,00001; 0,75000 - 0,80896; 0,25000 - 0,19104; 6,25000 - 4,77607; 4,89286 - 4,77607
25,00000; 5,00000; 0,00002 - 0,01094; 0,05000 - 0,28487; 0,95000 - 0,71513; 23,75000 - 17,87830; 3,97366 - 3,57566
30,00000; 1,00000; 0,00001 - 0,00000; 0,75000 - 0,83944; 0,25000 - 0,16056; 7,50000 - 4,81667; 4,89760 - 4,81667
30,00000; 5,00000; 0,00001 - 0,00556; 0,09000 - 0,36040; 0,91000 - 0,63960; 27,30000 - 19,18799; 3,96550 - 3,83760
